id_index,id_index_new,id_index_n,start_time,end_time,work_place_id,work_place,school_id,school,academy_id,academy
00211000000027221000,00211000000027221001,9524712_1,1986-9-1,1988-6-1,00111000000000000000,北京市,00333333300003057000,北京联合大学,00333333300003057000,
00211000000027221000,00211000000027221002,9524712_2,1995-9-1,1997-7-1,00141092600000000000,濮阳市范县,00333333300000252000,首都师范大学,00333333300000252000,
00211000000027221000,00211000000027221004,9524712_4,1970-9-1,1973-7-1,00111022800000000000,北京市密云县,00333333300004584000,密云县北庄中学,00333333300004584000,
00211000000027221000,00211000000027221006,9524712_6,1974-4-1,1976-4-1,00111000000000000000,北京市,00333333300004581000,北京市农业学校,00333333300004581000,
00211000000019596000,00211000000019596002,9524725_2,1997-9-1,1999-7-1,00141092600000000000,濮阳市范县,00333333300000252000,首都师范大学,00333333300000252000,
00211000000019596000,00211000000019596004,9524725_4,1976-12-1,1979-1-1,00111022800000000000,北京市密云县,00333333300004585000,北京市密云县大城子乡程各庄中学,00333333300004585000,
00250000000040429000,00250000000040429002,9525632_2,1978-9-1,1983-9-1,00161052100000000000,渭南市华县,00333333300001848000,华西医科大学,00333333300001848000,
00211000000016793000,00211000000016793001,9525843_1,1994-9-1,1997-7-1,00111000000000000000,北京市,00333333300000786000,北京市委党校,00333333300000786000,
00211000000016793000,00211000000016793002,9525843_2,1973-1-1,1978-3-1,00111022900000000000,北京市延庆县,00333333300004586000,北京市延庆县井家庄中学,00333333300004586000,
00212000000016141000,00212000000016141003,9526188_3,1978-10-1,1982-10-1,00112000000000000000,天津市,00333333300000610000,天津师范大学,00333333300000610000,
00233060000017441000,00233060000017441001,9527046_1,1980-9-1,1982-7-1,00133000000000000000,浙江省,00333333300000670000,浙江广播电视大学,00333333300000670000,
00233060000017441000,00233060000017441002,9527046_2,1983-9-1,1985-6-1,00133000000000000000,浙江省,00333333300000504000,浙江省委党校,00333333300000504000,
00233060000017441000,00233060000017441005,9527046_5,1978-10-1,1980-8-1,00133068100000000000,诸暨市,00333333300004587000,诸暨师范学校,00333333300004587000,
00223102400002379000,00223102400002379004,9528937_3_1,1975-9-1,1978-8-1,00137000000000000000,山东省,00333333300003114000,山东海洋学院,00333333300003114000,
00237000000023568000,00237000000023568001,9528990_1,1979-9-1,1983-7-1,00137000000000000000,山东省,00333333300000072000,山东农业大学,00333333300000072000,
00237142800001495000,00237142800001495003,9529007_2_1,1994-9-1,1996-12-1,00137000000000000000,山东省,00333333300000253000,山东省委党校,00333333300000253000,
00237142800001495000,00237142800001495011,9529007_6_1,1978-9-1,1980-7-1,00137140000000000000,德州市,00333333300002607000,德州师专中文系,00333333300002607000,
00244148100030503000,00244148100030503003,9529084_3,1980-9-1,1988-10-1,00143092100000000000,益阳市南县,00333333300000108000,华南师范大学,00333333300000108100,政治教育系
00244148100011654000,00244148100011654001,9529109_1,1993-7-1,1996-5-1,00144060000000000000,佛山市,00333333300003110000,佛山大学,00333333300003110000,
00244148100011654000,00244148100011654002,9529109_2,1996-9-1,1998-12-1,00131020000000000000,上海市县,00333333300000063000,省委党校,00333333300000063000,
00244148100011654000,00244148100011654004,9529109_4,2005-9-12,2012-9-1,00113092200000000000,沧州市青县,00333333300000063000,省委党校,00333333300000063000,
