people_id_new,link_id_new
"00234000000040201000","00213000000032532000"
"00234000000040201000","00232000000017006000"
"00234000000040201000","00200000000019142000"
"00234000000040201000","00200000000020654000"
"00234000000040201000","00200000000020737000"
"00234000000040201000","00200000000001113000"
"00234000000040201000","00200000000022843000"
"00234000000040201000","00213000000030591000"
"00234000000040201000","00200000000023362000"
"00234000000040201000","00222000000007990000"
"00234000000040201000","00200000000023987000"
"00234000000040201000","00200000000025772000"
"00234000000040201000","00241150300026692000"
"00234000000040201000","00233010000045133000"
"00234000000040201000","00200000000028036000"
"00234000000040201000","00246010000028835000"
"00234000000040201000","00200000000012884000"
"00200000000014114000","00244538100017390000"
"00200000000014114000","00200000000020113000"
"00200000000014114000","00200000000020988000"
"00200000000014114000","00200000000021150000"
"00200000000014114000","00200000000022370000"
"00200000000014114000","00200000000024235000"
"00200000000014114000","00200000000024247000"
"00200000000014114000","00200000000026815000"
"00200000000014114000","00237000000007677000"
"00200000000014114000","00200000000027700000"
"00200000000014114000","00200000000006409000"
"00200000000014114000","00236030000034957000"
"00200000000014114000","00200000000027442000"
"00200000000014114000","00221010000005938000"
"00213000000015454000","00251000000011715000"
"00213000000017342000","00200000000006502000"
"00200000000020409000","00213000000034137000"
"00200000000020409000","00243000000016001000"
"00200000000020409000","00200000000018867000"
"00200000000020409000","00200000000022118000"
"00200000000020409000","00237060000014536000"
"00200000000020409000","00200000000025598000"
"00200000000020409000","00233078200006668000"
"00200000000020409000","00200000000026870000"
"00200000000020409000","00200000000026907000"
"00200000000020409000","00200000000027397000"
"00200000000020409000","00200000000027398000"
"00200000000020409000","00200000000027618000"
"00200000000020409000","00236000000008459000"
"00200000000020409000","00236000000038718000"
"00200000000020409000","00200000000030111000"
"00200000000020409000","00232000000004481000"
"00200000000020409000","00200000000030853000"
"00200000000020409000","00200000000012472000"
"00200000000020409000","00243090000037812000"
"00236000000031105000","00232000000036979000"
"00236000000031105000","00221000000000507000"
"00236000000031105000","00200000000016732000"
"00236000000031105000","00232060000033212000"
"00236000000031105000","00200000000018335000"
"00236000000031105000","00200000000018437000"
"00236000000031105000","00200000000020376000"
"00236000000031105000","00241000000044893000"
"00236000000031105000","00200000000022758000"
"00236000000031105000","00251000000041348000"
"00236000000031105000","00221138100010681000"
"00236000000031105000","00200000000026791000"
"00236000000031105000","00200000000026870000"
"00236000000031105000","00221000000019538000"
"00236000000031105000","00252032500026286000"
"00236000000031105000","00200000000012023000"
"00236000000031105000","00200000000043887000"
"00236000000031105000","00243012100012525000"
"00232128300033644000","00213000000032532000"
"00232128300033644000","00213000000033354000"
"00232128300033644000","00213000000033735000"
"00232128300033644000","00242060000002872000"
"00232128300033644000","00213000000033752000"
"00232128300033644000","00237068400033911000"
"00232128300033644000","00213000000032706000"
"00232128300033644000","00213000000035708000"
"00232128300033644000","00232068400010763000"
"00232128300033644000","00200000000027691000"
"00232128300033644000","00243000000002270000"
"00232128300033644000","00235000000005834000"
"00232128300033644000","00200000000022332000"
"00232128300033644000","00200000000007455000"
"00232128300033644000","00200000000035219000"
"00232128300033644000","00237078500024688000"
"00232128300033644000","00200000000025170000"
"00232128300033644000","00200000000008548000"
"00232128300033644000","00200000000026272000"
"00232128300033644000","00233032600014166000"
"00232128300033644000","00234000000025476000"
"00232128300033644000","00200000000029866000"
"00232128300033644000","00213000000001458000"
"00213000000032532000","00234000000040201000"
"00213000000032532000","00232128300033644000"
"00213000000032532000","00213000000033354000"
"00213000000032532000","00213000000033735000"
"00213000000032532000","00242060000002872000"
"00213000000032532000","00213000000033752000"
"00213000000032532000","00237068400033911000"
"00213000000032532000","00213000000032706000"
"00213000000032532000","00232068400010763000"
"00213000000032532000","00236098100036008000"
"00213000000032532000","00245010000006171000"
"00213000000032532000","00200000000014360000"
"00213000000032532000","00237060000014536000"
"00213000000032532000","00200000000032829000"
"00213000000032532000","00200000000027697000"
"00213000000032532000","00251160200039354000"
"00213000000032532000","00200000000027036000"
"00213000000032532000","00234182200009204000"
"00213000000032532000","00221128200038766000"
"00213000000032532000","00200000000028536000"
"00213000000032532000","00236000000038718000"
"00213000000032532000","00200000000030391000"
"00213000000032532000","00262050000026020000"
"00213000000032532000","00200000000030695000"
"00213000000032532000","00200000000043700000"
"00213000000032532000","00200000000012304000"
"00213000000032532000","00214000000038949000"
"00213000000032532000","00234000000005008000"
"00213000000032532000","00234000000024555000"
"00213000000032532000","00200000000012977000"
"00213000000033354000","00232128300033644000"
"00213000000033354000","00213000000032532000"
"00213000000033354000","00213000000033735000"
"00213000000033354000","00242060000002872000"
"00213000000033354000","00213000000033752000"
"00213000000033354000","00237068400033911000"
"00213000000033354000","00213000000032706000"
"00213000000033354000","00232068400010763000"
"00213000000033354000","00200000000006561000"
"00213000000033354000","00200000000021595000"
"00213000000033354000","00200000000021818000"
"00213000000033354000","00250000000020201000"
"00213000000033354000","00200000000023362000"
"00213000000033354000","00221138100010681000"
"00213000000033354000","00200000000024260000"
"00213000000033354000","00200000000025170000"
"00213000000033354000","00200000000010341000"
"00213000000033354000","00200000000028481000"
"00213000000033354000","00232128300005886000"
"00213000000033354000","00200000000030800000"
"00213000000033354000","00246010000028835000"
"00213000000033354000","00200000000012472000"
"00213000000033354000","00261000000045188000"
"00213000000033354000","00243012100012525000"
"00213000000033354000","00200000000013364000"
"00213000000033735000","00232128300033644000"
"00213000000033735000","00213000000032532000"
"00213000000033735000","00213000000033354000"
"00213000000033735000","00242060000002872000"
"00213000000033735000","00213000000033752000"
"00213000000033735000","00237068400033911000"
"00213000000033735000","00213000000032706000"
"00213000000033735000","00232068400010763000"
"00213000000033735000","00200000000023765000"
"00213000000033735000","00200000000017458000"
"00213000000033735000","00237060000014536000"
"00213000000033735000","00237000000033603000"
"00213000000033735000","00200000000024827000"
"00213000000033735000","00200000000025598000"
"00213000000033735000","00221020000033892000"
"00213000000033735000","00200000000025772000"
"00213000000033735000","00200000000009323000"
"00213000000033735000","00200000000028036000"
"00213000000033735000","00200000000030427000"
"00213000000033735000","00200000000030761000"
"00213000000033735000","00200000000043700000"
"00213000000033735000","00223000000001227000"
"00213000000033735000","00200000000038178000"
"00213000000033735000","00221010000005938000"
"00242060000002872000","00232128300033644000"
"00242060000002872000","00213000000032532000"
"00242060000002872000","00213000000033354000"
"00242060000002872000","00213000000033735000"
"00242060000002872000","00213000000033752000"
"00242060000002872000","00237068400033911000"
"00242060000002872000","00213000000032706000"
"00242060000002872000","00232068400010763000"
"00242060000002872000","00200000000016070000"
"00242060000002872000","00200000000006776000"
"00242060000002872000","00200000000020474000"
"00242060000002872000","00223010000021144000"
"00242060000002872000","00200000000037373000"
"00242060000002872000","00250011100005156000"
"00242060000002872000","00200000000025242000"
"00242060000002872000","00233000000021639000"
"00242060000002872000","00215052500037209000"
"00242060000002872000","00200000000027618000"
"00242060000002872000","00200000000030805000"
"00242060000002872000","00237060000016932000"
"00242060000002872000","00200000000012151000"
"00242060000002872000","00234000000026455000"
"00242060000002872000","00200000000012973000"
"00242060000002872000","00243090000037812000"
"00213000000033752000","00232128300033644000"
"00213000000033752000","00213000000032532000"
"00213000000033752000","00213000000033354000"
"00213000000033752000","00213000000033735000"
"00213000000033752000","00242060000002872000"
"00213000000033752000","00237068400033911000"
"00213000000033752000","00213000000032706000"
"00213000000033752000","00232068400010763000"
"00213000000033752000","00200000000019142000"
"00213000000033752000","00200000000021110000"
"00213000000033752000","00200000000001032000"
"00213000000033752000","00215010000037175000"
"00213000000033752000","00241000000044893000"
"00213000000033752000","00200000000035219000"
"00213000000033752000","00213000000030591000"
"00213000000033752000","00200000000025598000"
"00213000000033752000","00200000000025856000"
"00213000000033752000","00200000000009163000"
"00213000000033752000","00200000000006406000"
"00213000000033752000","00234000000025476000"
"00213000000033752000","00200000000027036000"
"00213000000033752000","00237078200017854000"
"00213000000033752000","00200000000038554000"
"00213000000033752000","00236068100038555000"
"00213000000033752000","00262000000004787000"
"00213000000033752000","00200000000030773000"
"00213000000033752000","00237000000038888000"
"00213000000033752000","00200000000006478000"
"00213000000033752000","00211000000045102000"
"00213000000033752000","00261000000045188000"
"00213018100018567000","00213000000034137000"
"00213018100018567000","00237068400033911000"
"00213018100018567000","00213000000034680000"
"00213018100018567000","00213000000010135000"
"00213018100018567000","00253000000007022000"
"00213018100018567000","00213000000035708000"
"00213018100018567000","00232000000036979000"
"00213018100018567000","00232068400010763000"
"00213018100018567000","00200000000016732000"
"00213018100018567000","00200000000044393000"
"00213018100018567000","00200000000037373000"
"00213018100018567000","00237000000015101000"
"00213018100018567000","00236048100009624000"
"00213018100018567000","00200000000024972000"
"00213018100018567000","00200000000026391000"
"00213018100018567000","00271000000002149000"
"00213018100018567000","00236000000008459000"
"00213018100018567000","00200000000030391000"
"00213018100018567000","00262050000026020000"
"00213018100018567000","00200000000012151000"
"00213000000034137000","00200000000020409000"
"00213000000034137000","00213018100018567000"
"00213000000034137000","00237068400033911000"
"00213000000034137000","00213000000034680000"
"00213000000034137000","00213000000010135000"
"00213000000034137000","00253000000007022000"
"00213000000034137000","00213000000035708000"
"00213000000034137000","00232000000036979000"
"00213000000034137000","00232068400010763000"
"00213000000034137000","00200000000033362000"
"00213000000034137000","00200000000018867000"
"00213000000034137000","00200000000044393000"
"00213000000034137000","00200000000021200000"
