location_name,location_id,previous_location_id
井陉矿区,00113010700000000000,00113010000000000000
裕华区,00113010800000000000,00113010000000000000
井陉县,00113012100000000000,00113010000000000000
正定县,00113012300000000000,00113010000000000000
栾城县,00113012400000000000,00113010000000000000
行唐县,00113012500000000000,00113010000000000000
灵寿县,00113012600000000000,00113010000000000000
高邑县,00113012700000000000,00113010000000000000
深泽县,00113012800000000000,00113010000000000000
赞皇县,00113012900000000000,00113010000000000000
无极县,00113013000000000000,00113010000000000000
平山县,00113013100000000000,00113010000000000000
元氏县,00113013200000000000,00113010000000000000
赵县,00113013300000000000,00113010000000000000
辛集市,00113018100000000000,00113000000000000000
藁城市,00113018200000000000,00113000000000000000
晋州市,00113018300000000000,00113000000000000000
新乐市,00113018400000000000,00113000000000000000
鹿泉市,00113018500000000000,00113000000000000000
唐山市,00113020000000000000,00113000000000000000
市辖区,00113020100000000000,00113020000000000000
路南区,00113020200000000000,00113020000000000000
路北区,00113020300000000000,00113020000000000000
古冶区,00113020400000000000,00113020000000000000
开平区,00113020500000000000,00113020000000000000
丰南区,00113020700000000000,00113020000000000000
丰润区,00113020800000000000,00113020000000000000
曹妃甸区,00113020900000000000,00113020000000000000
滦县,00113022300000000000,00113020000000000000
滦南县,00113022400000000000,00113020000000000000
乐亭县,00113022500000000000,00113020000000000000
迁西县,00113022700000000000,00113020000000000000
玉田县,00113022900000000000,00113020000000000000
遵化市,00113028100000000000,00113000000000000000
迁安市,00113028300000000000,00113000000000000000
秦皇岛市,00113030000000000000,00113000000000000000
市辖区,00113030100000000000,00113030000000000000
海港区,00113030200000000000,00113030000000000000
山海关区,00113030300000000000,00113030000000000000
北戴河区,00113030400000000000,00113030000000000000
青龙满族自治县,00113032100000000000,00113030000000000000
昌黎县,00113032200000000000,00113030000000000000
抚宁县,00113032300000000000,00113030000000000000
卢龙县,00113032400000000000,00113030000000000000
邯郸市,00113040000000000000,00113000000000000000
市辖区,00113040100000000000,00113040000000000000
邯山区,00113040200000000000,00113040000000000000
丛台区,00113040300000000000,00113040000000000000
复兴区,00113040400000000000,00113040000000000000
峰峰矿区,00113040600000000000,00113040000000000000
邯郸县,00113042100000000000,00113040000000000000
临漳县,00113042300000000000,00113040000000000000
成安县,00113042400000000000,00113040000000000000
大名县,00113042500000000000,00113040000000000000
涉县,00113042600000000000,00113040000000000000
磁县,00113042700000000000,00113040000000000000
肥乡县,00113042800000000000,00113040000000000000
永年县,00113042900000000000,00113040000000000000
邱县,00113043000000000000,00113040000000000000
鸡泽县,00113043100000000000,00113040000000000000
广平县,00113043200000000000,00113040000000000000
馆陶县,00113043300000000000,00113040000000000000
魏县,00113043400000000000,00113040000000000000
曲周县,00113043500000000000,00113040000000000000
武安市,00113048100000000000,00113000000000000000
邢台市,00113050000000000000,00113000000000000000
市辖区,00113050100000000000,00113050000000000000
桥东区,00113050200000000000,00113050000000000000
桥西区,00113050300000000000,00113050000000000000
邢台县,00113052100000000000,00113050000000000000
临城县,00113052200000000000,00113050000000000000
内丘县,00113052300000000000,00113050000000000000
柏乡县,00113052400000000000,00113050000000000000
隆尧县,00113052500000000000,00113050000000000000
任县,00113052600000000000,00113050000000000000
南和县,00113052700000000000,00113050000000000000
宁晋县,00113052800000000000,00113050000000000000
巨鹿县,00113052900000000000,00113050000000000000
新河县,00113053000000000000,00113050000000000000
广宗县,00113053100000000000,00113050000000000000
平乡县,00113053200000000000,00113050000000000000
威县,00113053300000000000,00113050000000000000
清河县,00113053400000000000,00113050000000000000
临西县,00113053500000000000,00113050000000000000
南宫市,00113058100000000000,00113000000000000000
沙河市,00113058200000000000,00113000000000000000
保定市,00113060000000000000,00113000000000000000
市辖区,00113060100000000000,00113060000000000000
新市区,00113060200000000000,00113000000000000000
北市区,00113060300000000000,00113000000000000000
南市区,00113060400000000000,00113000000000000000
满城县,00113062100000000000,00113060400000000000
清苑县,00113062200000000000,00113060400000000000
涞水县,00113062300000000000,00113060400000000000
阜平县,00113062400000000000,00113060400000000000
徐水县,00113062500000000000,00113060400000000000
定兴县,00113062600000000000,00113060400000000000
唐县,00113062700000000000,00113060400000000000
高阳县,00113062800000000000,00113060400000000000
容城县,00113062900000000000,00113060400000000000
涞源县,00113063000000000000,00113060400000000000
望都县,00113063100000000000,00113060400000000000
安新县,00113063200000000000,00113060400000000000
易县,00113063300000000000,00113060400000000000
曲阳县,00113063400000000000,00113060400000000000
蠡县,00113063500000000000,00113060400000000000
顺平县,00113063600000000000,00113060400000000000
博野县,00113063700000000000,00113060400000000000
雄县,00113063800000000000,00113060400000000000
涿州市,00113068100000000000,00113000000000000000
定州市,00113068200000000000,00113000000000000000
安国市,00113068300000000000,00113000000000000000
高碑店市,00113068400000000000,00113000000000000000
张家口市,00113070000000000000,00113000000000000000
市辖区,00113070100000000000,00113070000000000000
桥东区,00113070200000000000,00113070000000000000
桥西区,00113070300000000000,00113070000000000000
宣化区,00113070500000000000,00113070000000000000
下花园区,00113070600000000000,00113070000000000000
宣化县,00113072100000000000,00113070000000000000
张北县,00113072200000000000,00113070000000000000
康保县,00113072300000000000,00113070000000000000
沽源县,00113072400000000000,00113070000000000000
尚义县,00113072500000000000,00113070000000000000
蔚县,00113072600000000000,00113070000000000000
阳原县,00113072700000000000,00113070000000000000
怀安县,00113072800000000000,00113070000000000000
万全县,00113072900000000000,00113070000000000000
怀来县,00113073000000000000,00113070000000000000
涿鹿县,00113073100000000000,00113070000000000000
赤城县,00113073200000000000,00113070000000000000
