id_index,officer_name,place_of_birth_id
"00200000000006685000","陈景新","00100000000000000000"
"00200000000006689000","魏跃晖","00100000000000000000"
"00200000000006698000","邓励","00100000000000000000"
"00200000000006699000","王广明","00100000000000000000"
"00200000000006700000","迟克举","00100000000000000000"
"00200000000006727000","董明源","00100000000000000000"
"00200000000006728000","曲福丛","00100000000000000000"
"00200000000006733000","曾雄","00100000000000000000"
"00200000000006737000","白礼西","00100000000000000000"
"00200000000006776000","李和忠","00100000000000000000"
"00200000000006797000","周春涌","00100000000000000000"
"00200000000006799000","江俊辉","00100000000000000000"
"00200000000006807000","董永江","00100000000000000000"
"00200000000006837000","凌文","00100000000000000000"
"00200000000006846000","李维斗","00100000000000000000"
"00200000000006866000","柴中达","00100000000000000000"
"00200000000006907000","王键吉","00100000000000000000"
"00200000000006924000","申继亮","00100000000000000000"
"00200000000006928000","黄继红","00100000000000000000"
"00200000000006952000","孟祥凯","00100000000000000000"
"00200000000006956000","杨桂华","00100000000000000000"
"00200000000006959000","夏临华","00100000000000000000"
"00200000000006979000","赵中夫","00100000000000000000"
"00200000000006982000","高大彬","00100000000000000000"
"00200000000006988000","荣命哲","00100000000000000000"
"00200000000006993000","林文勋","00100000000000000000"
"00200000000006994000","徐永刚","00100000000000000000"
"00200000000007001000","郑虎","00100000000000000000"
"00200000000007010000","李致重","00100000000000000000"
"00200000000007019000","徐迪克","00100000000000000000"
"00200000000007067000","欧俊波","00100000000000000000"
"00200000000007092000","余新光","00100000000000000000"
"00200000000007117000","史文浩","00100000000000000000"
"00200000000007127000","陈齐鸿","00100000000000000000"
"00200000000007146000","刘兴臣","00100000000000000000"
"00200000000007171000","区杰","00100000000000000000"
"00200000000007195000","周昭勇","00100000000000000000"
"00200000000007296000","苏丹柯","00100000000000000000"
"00200000000007306000","龚小夏","00100000000000000000"
"00200000000007323000","霍震霆","00100000000000000000"
"00200000000007352000","尹中强","00100000000000000000"
"00200000000007360000","杨明生","00100000000000000000"
"00200000000007373000","美克","00100000000000000000"
"00200000000007381000","周骥平","00100000000000000000"
"00200000000007393000","左华荣","00100000000000000000"
"00200000000007402000","王心洁","00100000000000000000"
